hjd,camera,mag,mag_err,flux,flux_err
2458076.65904,bg,12.441,0.02,40.506,0.745
2457639.58947,bg,14.555,0.0306,5.781,0.163
2457355.66127,bg,14.137,0.02509,8.494,0.196
2457530.92418,bg,12.551,0.02,36.603,0.674
2458328.90385,bg,12.548,0.02,36.702,0.675
2457333.68329,bg,12.851,0.02,27.763,0.511
2457760.5403,bg,13.171,0.02251,20.68,0.428
2457313.62624,bg,12.112,0.02,54.847,1.009
2457341.68417,bg,13.308,0.02203,18.221,0.369
2457312.77726,bg,12.122,0.02,54.315,0.999
2457297.70704,bg,11.751,0.02,76.503,1.408
2457331.67841,bg,12.771,0.02,29.896,0.55
2457390.5532,bg,15.435,99.99,2.55,0.514
2458324.76665,bg,12.439,0.02,40.596,0.747
2457371.61222,bg,14.836,0.03618,4.46,0.148
2457983.83995,bg,14.007,0.02396,9.578,0.211
2457384.56876,bg,14.706,0.03339,5.03,0.154
2457380.58808,bg,14.906,0.03785,4.185,0.146
2457877.91259,bg,12.947,0.02,25.424,0.468
2458054.50639,bg,13.653,0.02211,13.26,0.27
2457367.62661,bg,14.882,0.03726,4.277,0.147
2457327.65254,bg,12.663,0.02,33.027,0.608
2457654.61876,bg,13.636,0.02207,13.473,0.274
2458055.51969,bg,13.733,0.02238,12.318,0.254
2458127.53469,bg,12.287,0.02,46.696,0.859
2457387.56035,bg,15.243,0.04763,3.068,0.134
2457584.73386,bg,15.085,0.04266,3.548,0.139
2457373.5783,bg,14.464,0.02914,6.283,0.168
2458241.91841,bg,13.956,0.02359,10.032,0.218
2457557.8252,bg,13.905,0.02325,10.515,0.225
2457304.68229,bg,11.898,0.02,66.789,1.229
2457524.89699,bg,12.405,0.02,41.857,0.77
2457346.68727,bg,13.647,0.0221,13.337,0.271
2457353.66401,bg,14.143,0.02515,8.448,0.195
2457364.63695,bg,14.641,0.03213,5.338,0.158
2457322.76051,bg,12.624,0.02,34.219,0.63
2458323.80636,bg,12.398,0.02,42.157,0.776
2457395.53754,bg,15.414,0.05384,2.619,0.13
2457749.57144,bg,12.616,0.02,34.487,0.635
2457287.63604,bg,11.78,0.02,74.486,1.371
2457377.59498,bg,15.152,0.04468,3.335,0.137
2457917.83166,bg,12.345,0.02,44.266,0.814
2457906.90325,bg,12.417,0.02,41.425,0.762
2458347.82847,bg,13.332,0.02197,17.832,0.36
2457667.61927,bg,13.133,0.02271,21.422,0.447
2458365.86899,bg,14.305,0.02695,7.277,0.18
2457924.84753,bg,12.271,0.02,47.35,0.871
2457888.90848,bg,12.66,0.02,33.107,0.609
2457903.86865,bg,12.442,0.02,40.452,0.744
2457283.67375,bg,11.844,0.02,70.221,1.292
2457944.74953,bg,12.561,0.02,36.284,0.668
2458350.6421,bg,13.476,0.02185,15.609,0.314
2457664.80376,bg,13.21,0.02234,19.957,0.41
2457325.75027,bg,12.551,0.02,36.591,0.673
2457698.70413,bg,12.811,0.02,28.821,0.53
2457935.8,bg,12.33,0.02,44.877,0.826
2457929.79414,bg,12.269,0.02,47.458,0.873
2458077.66387,bg,12.248,0.02,48.389,0.89
2457660.67181,bg,13.371,0.02191,17.194,0.347
2457317.6217,bg,12.273,0.02,47.267,0.87
2458366.83449,bg,14.263,0.02644,7.566,0.184
2457691.56431,bg,12.879,0.02,27.054,0.498
2457713.5746,bg,12.665,0.02,32.958,0.606
2457325.75155,bg,12.598,0.02,35.04,0.645
2457662.71822,bg,13.277,0.02211,18.753,0.381
2457284.84888,bg,11.874,0.02,68.256,1.256
2457278.73672,bg,11.98,0.02,61.904,1.139
2458314.74928,bg,12.13,0.02,53.93,0.992
2457362.64371,bg,14.579,0.03101,5.654,0.161
2457339.70918,bg,13.181,0.02247,20.494,0.424
2457879.9155,bg,12.836,0.02,28.147,0.518
2458376.56284,bg,14.441,0.02879,6.418,0.17
2457336.6538,bg,13.046,0.02325,23.197,0.496
