hjd,camera,mag,mag_err,flux,flux_err
2457686.83585,bc,14.24,0.02624,7.68,0.185
2457232.03076,bc,14.274,0.02664,7.449,0.183
2458009.95434,bc,14.302,0.02698,7.257,0.18
2457604.74804,bg,14.289,0.02675,7.384,0.182
2458378.77535,bg,14.23,0.02606,7.798,0.187
2457585.71411,bg,14.276,0.02659,7.475,0.183
2457332.6888,bg,14.323,0.02717,7.156,0.179
2457638.96592,bc,14.267,0.02656,7.492,0.183
2457629.77988,bg,14.287,0.02673,7.397,0.182
2456916.90635,bc,14.261,0.02649,7.539,0.184
2457677.85213,bc,14.299,0.02695,7.276,0.18
2457297.70907,bg,14.337,0.02735,7.066,0.178
2457317.59782,bg,14.292,0.02679,7.367,0.182
2457910.82759,bg,14.257,0.02637,7.604,0.184
2456835.07436,bc,14.268,0.02657,7.489,0.183
2457311.71534,bg,14.645,0.0322,5.321,0.158
2457945.72606,bg,14.74,0.03408,4.873,0.153
2457302.6474,bg,14.366,0.02774,6.877,0.175
2457602.74711,bg,14.288,0.02674,7.39,0.182
2457631.72475,bg,14.276,0.02659,7.472,0.183
2457246.04283,bc,14.297,0.02692,7.288,0.181
2457626.9997,bc,14.612,0.03171,5.455,0.159
2456917.9247,bc,14.257,0.02644,7.56,0.184
2458011.90746,bc,14.33,0.02734,7.069,0.178
2457690.59399,bg,14.261,0.02642,7.577,0.184
2457380.55211,bg,14.288,0.02674,7.39,0.182
2458090.59783,bg,14.629,0.03191,5.401,0.159
2457672.8097,bc,14.315,0.02715,7.172,0.179
2457911.81618,bg,14.241,0.02619,7.719,0.186
2458335.68103,bg,14.271,0.02654,7.509,0.183
2457997.91987,bc,14.721,0.03381,4.931,0.153
2457354.5331,bg,14.522,0.03005,5.959,0.165
2457980.74043,bg,14.248,0.02627,7.668,0.185
2457688.82504,bc,14.302,0.02698,7.257,0.18
2457360.58329,bg,14.336,0.02734,7.07,0.178
2456979.7452,bc,14.287,0.0268,7.36,0.181
2457304.67826,bg,14.48,0.02938,6.192,0.167
2458431.78529,bc,14.262,0.0265,7.526,0.183
2457640.74233,bg,14.272,0.02655,7.499,0.183
2457616.9078,bg,14.227,0.02603,7.818,0.187
