hjd,camera,mag,mag_err,flux,flux_err
2458063.75177,bb,11.933,0.02,64.678,1.19
2457979.08425,bb,11.895,0.02,66.988,1.233
2457536.10959,bb,11.903,0.02,66.468,1.223
2458408.82664,bb,11.887,0.02,67.486,1.242
2457667.98321,bb,11.894,0.02,67.01,1.233
2457319.71792,bb,11.881,0.02,67.869,1.249
2457244.04741,bb,11.891,0.02,67.195,1.236
2457705.84246,bb,11.906,0.02,66.324,1.22
2457584.00534,bb,11.889,0.02,67.361,1.239
2457392.73752,bb,11.894,0.02,67.062,1.234
2457981.99921,bb,11.888,0.02,67.378,1.24
2458060.73329,bb,11.872,0.02,68.41,1.259
2457046.71087,bb,11.894,0.02,67.01,1.233
2458061.70604,bb,11.898,0.02,66.785,1.229
2457998.83657,bb,11.892,0.02,67.165,1.236
2457917.07824,bb,12.105,0.02,55.221,1.016
2457997.00564,bb,11.907,0.02,66.251,1.219
2457689.94305,bb,11.914,0.02,65.828,1.211
2457165.11025,bb,11.888,0.02,67.436,1.241
2458026.76958,bb,11.924,0.02,65.196,1.2
2457901.11262,bb,11.888,0.02,67.41,1.24
2457334.69355,bb,11.925,0.02,65.171,1.199
2458017.96261,bb,11.888,0.02,67.41,1.24
2457184.09892,bb,11.904,0.02,66.418,1.222
2457698.79371,bb,11.882,0.02,67.77,1.247
2458059.73373,bb,11.901,0.02,66.586,1.225
2457240.98259,bb,11.901,0.02,66.581,1.225
2457671.73247,bb,12.017,0.02,59.879,1.102
2457305.96247,bb,11.883,0.02,67.745,1.247
2457213.00434,bb,11.957,0.02,63.257,1.164
2457228.02642,bb,11.909,0.02,66.116,1.217
2457176.08243,bb,12.09,0.02,55.96,1.03
2457399.70947,bb,11.91,0.02,66.03,1.215
2457317.84428,bb,11.869,0.02,68.609,1.262
2457702.79641,bb,11.956,0.02,63.31,1.165
2457600.01305,bb,11.9,0.02,66.653,1.226
2457569.07502,bb,11.906,0.02,66.32,1.22
2458079.83696,bb,11.9,0.02,66.659,1.227
2457664.01253,bb,11.934,0.02,64.638,1.189
2457328.92899,bb,11.906,0.02,66.312,1.22
2457363.8329,bb,11.919,0.02,65.495,1.205
2457974.95322,bb,11.886,0.02,67.546,1.243
2458097.82735,bb,11.892,0.02,67.19,1.236
2458036.92102,bb,11.899,0.02,66.718,1.228
2457695.83305,bb,12.14,0.02,53.449,0.983
2457313.91653,bb,11.886,0.02,67.539,1.243
2457989.94957,bb,11.917,0.02,65.606,1.207
2458048.75897,bb,11.891,0.02,67.244,1.237
2458066.74912,bb,11.897,0.02,66.848,1.23
2457735.81316,bb,11.88,0.02,67.937,1.25
2457164.11376,bb,12.042,0.02,58.485,1.076
2458070.73484,bb,11.919,0.02,65.482,1.205
2457274.92087,bb,11.894,0.02,67.012,1.233
2457231.94579,bb,11.912,0.02,65.928,1.213
2458034.96779,bb,11.88,0.02,67.919,1.25
2457265.05192,bb,11.906,0.02,66.327,1.22
2457045.71314,bb,12.105,0.02,55.193,1.016
2457613.93584,bb,11.906,0.02,66.296,1.22
2457324.84183,bb,11.881,0.02,67.846,1.248
2457369.7899,bb,11.976,0.02,62.144,1.143
2457966.98637,bb,11.945,0.02,63.976,1.177
2457653.02243,bb,12.01,0.02,60.255,1.109
2458037.95046,bb,11.922,0.02,65.312,1.202
2458020.9374,bb,11.928,0.02,64.992,1.196
2457223.01343,bb,11.884,0.02,67.659,1.245
2457560.04548,bb,11.883,0.02,67.72,1.246
2457385.76188,bb,11.888,0.02,67.416,1.24
2457261.99084,bb,11.898,0.02,66.816,1.229
2457177.07622,bb,11.91,0.02,66.049,1.215
2457686.94721,bb,11.896,0.02,66.926,1.231
2457984.05839,bb,12.1,0.02,55.452,1.02
2457333.79268,bb,12.022,0.02,59.579,1.096
2457206.01696,bb,11.952,0.02,63.53,1.169
2458004.96328,bb,11.905,0.02,66.352,1.221
2457530.11207,bb,11.887,0.02,67.493,1.242
2458014.05625,bb,11.936,0.02,64.484,1.187
2457270.94426,bb,11.871,0.02,68.463,1.26
2457586.97068,bb,11.92,0.02,65.458,1.204
2457575.05123,bb,11.936,0.02,64.493,1.187
2458075.87986,bb,11.91,0.02,66.039,1.215
2457939.00971,bb,11.897,0.02,66.848,1.23
2457236.08283,bb,12.135,0.02,53.709,0.988
2457021.76316,bb,11.985,0.02,61.653,1.134
2457299.01215,bb,11.901,0.02,66.591,1.225
2458047.7945,bb,11.889,0.02,67.342,1.239
2458067.75076,bb,11.883,0.02,67.742,1.246
2457357.76736,bb,11.958,0.02,63.21,1.163
2457210.09116,bb,11.892,0.02,67.18,1.236
2457912.08446,bb,11.949,0.02,63.718,1.172
2457290.88039,bb,11.968,0.02,62.607,1.152
2457979.917,bb,11.9,0.02,66.646,1.226
2457710.88369,bb,11.89,0.02,67.255,1.237
2457694.92124,bb,11.95,0.02,63.671,1.172
2457179.09423,bb,11.883,0.02,67.742,1.246
2457378.72921,bb,11.892,0.02,67.159,1.236
2457553.06611,bb,11.873,0.02,68.374,1.258
