hjd,camera,mag,mag_err,flux,flux_err
2456970.90486,ba,15.759,0.06922,1.906,0.121
2456989.82564,bb,16.236,0.09902,1.191,0.108
2457657.01839,ba,16.623,0.12316,0.861,0.098
2457288.81809,bb,16.716,0.13203,0.766,0.093
2457351.83973,ba,16.006,0.08264,1.519,0.115
2457369.76213,ba,16.554,0.11834,0.917,0.1
2457176.10811,bb,16.381,99.99,0.964,0.215
2457973.99732,bb,16.352,0.10676,1.071,0.105
2457222.03685,bb,16.462,0.11431,0.967,0.102
2456570.77839,bb,16.069,0.08843,1.389,0.113
2457907.10423,ba,16.415,0.10873,1.042,0.104
2457940.018,bb,15.852,0.07587,1.696,0.118
2457671.94473,bb,15.965,0.08223,1.529,0.116
2456999.79596,ba,16.523,0.11618,0.943,0.101
2456823.08581,ba,15.886,99.99,0.882,0.339
2457311.83751,bb,16.541,0.11981,0.899,0.099
2457678.9332,ba,16.501,99.99,0.825,0.193
2457697.95161,ba,16.329,0.10292,1.128,0.107
2458053.79152,ba,16.066,0.08619,1.437,0.114
2457553.07439,bb,16.498,0.11681,0.936,0.101
2457695.93705,bb,16.581,0.1226,0.867,0.098
2457380.78608,bb,16.197,0.09648,1.234,0.11
2458034.93451,bb,16.162,0.09424,1.275,0.111
2456821.08761,ba,16.104,0.08849,1.388,0.113
2458351.88939,ba,16.019,0.0834,1.5,0.115
2457176.10779,ba,16.082,0.08715,1.417,0.114
2456836.06808,ba,16.091,0.0877,1.405,0.113
2457638.03786,bb,16.424,0.11168,1.001,0.103
2458063.93259,ba,16.187,0.09367,1.286,0.111
2456873.92785,bb,16.155,0.09379,1.283,0.111
2458406.86601,ba,16.462,0.11196,0.998,0.103
2456516.90022,bb,16.134,0.09247,1.308,0.111
2457941.11025,ba,16.637,0.12414,0.849,0.097
2457170.10887,ba,16.764,99.99,0.729,0.151
2457362.85233,ba,16.639,0.12428,0.848,0.097
2457391.74359,bb,15.969,0.08246,1.523,0.116
2457366.77675,ba,16.026,0.08381,1.491,0.115
2456658.75581,bb,16.217,0.09778,1.213,0.109
2457706.86142,ba,16.146,99.99,1.326,0.267
2456224.86697,bb,15.974,0.08275,1.516,0.115
2457543.11239,bb,16.586,99.99,0.674,0.178
2456876.0128,ba,16.163,0.09215,1.314,0.111
2456970.90465,bb,16.35,0.10662,1.073,0.105
2457387.75602,bb,16.344,0.10622,1.079,0.105
2458021.02259,ba,15.986,0.08148,1.547,0.116
2458018.00997,bb,16.578,0.12239,0.869,0.098
2456998.79715,ba,16.481,0.11327,0.981,0.102
2456470.05131,bb,16.415,0.11106,1.01,0.103
2457550.08593,bb,16.325,0.10493,1.097,0.106
2457275.04785,bb,16.403,0.11024,1.021,0.104
2456850.02844,bb,16.006,0.08464,1.473,0.115
